arcid elev slope
79 63.348 0.054
77 72.5 0.65
69 129 2.564
70 88.5 0.781
67 104 0.925
47 162.5 2.688
48 104 0.925
46 212 4.854
51 210 9.183
68 147 3.938
80 63.995 0.054
82 67.5 0.522
81 76.5 0.499
85 82 0.574
89 64.826 0.054
88 63.5 0.343
95 66.174 0.054
99 67.418 0.054
102 74.5 0.425
106 68.79 0.054
105 70 1.074
138 72 0.072
139 72 0.071
114 70.268 0.054
119 71.5 0.098
120 72.5 0.05
110 74.5 0.15
107 76 0.01
104 77.5 0.149
100 80.5 0.149
94 84.5 0.261
86 92 0.369
74 100 0.3
66 107 0.402
57 114 0.343
49 241.5 7.792
50 118 0.389
40 143 1.948
21 205 3.195
22 229.5 7.75
41 120.5 0.956
39 200.5 8.613
44 122.5 0.057
31 241.5 6.158
34 124.5 0.852
35 168.5 2.586
45 128.5 0.346
36 168 2.784
63 137 0.296
61 144 0.148
62 149.5 0.45
60 157 0.3
71 167.5 0.747
72 176 0.1
64 177.5 0.05
52 178 0.01
42 181.5 0.452
24 218.5 3.507
25 187.5 0.346
17 243 3.765
18 196.5 0.718
13 222 2.274
14 226.5 1.882
43 182.5 0.463
29 186 0.1
23 186 0.1
19 226 1.951
20 186 0.169
16 188.5 0.35
15 193.5 0.15
12 198 0.3
10 204 0.256
8 212.5 0.382
6 246.5 2.488
7 257.5 3.155
9 238.5 2.363
11 203.5 0.134
4 207.5 0.268
3 210 0.439
1 313.5 11.446
2 405 8.081
5 382 5.737
54 183 0.466
56 188.5 0.049
58 189.5 0.078
53 190 0.01
30 192.5 0.248
37 198 0.3
38 202 0.204
32 245.5 2.791
33 202.5 0.16
27 233 2.07
28 203 0.155
26 242.5 1.473
55 215.5 0.791
75 240 1.089
93 292 1.974
98 350 7.679
122 564 14.917
125 632.5 17.997
111 591 18.244
78 211 0.546
65 235 2.707
101 373.5 4.749
73 223.5 8.607
59 254 11.135
87 101.5 1.349
76 160 5.864
90 143 1.744
91 263 8.518
92 186.5 1.983
96 83.5 0.672
97 131 3.524
112 90.5 0.288
113 170 5.281
117 96 0.01
118 183.5 7.668
129 98.5 0.466
130 196 7.742
143 107 0.941
144 117.5 0.538
132 128.5 1.618
124 151.5 1.357
108 246.5 8.408
109 174.5 2.438
115 197 3.091
116 342.5 10.808
221 221 8.765
123 422.5 12.957
153 515.5 11.228
121 197.5 7.756
145 325.5 8.493
154 480.5 10.537
147 113.5 0.183
148 157 3.779
150 120 0.512
151 262.5 7.893
157 132 0.839
158 141 1.757
159 287.5 8.869
164 203 4.778
162 393.5 13.928
163 467.5 16.656
178 141 1.665
228 77 0.494
226 85 0.55
227 81.5 0.435
224 118.5 3.104
225 81.5 0.435
222 124.5 2.66
223 86.5 0.48
83 137 3.99
84 129.5 3.828
127 70 0.057
126 73.5 0.23
133 69.5 0.083
140 69 0.572
142 68.5 0.072
141 71.5 0.364
131 75 0.1
128 78 0.2
137 82 0.309
136 87.5 0.814
134 124.5 4.901
135 127 2.954
146 122 4.618
149 71 0.18
155 124.5 1.436
156 73 0.01
160 73 0.01
165 73 0.01
167 73 0.01
169 75 0.257
168 87.5 1.172
172 79.5 0.245
173 86.5 0.36
166 148 3.026
170 94.5 0.525
171 206.5 4.206
179 109.5 0.977
182 382 7.376
186 387.5 8.683
176 84.5 0.542
183 165.5 5.53
187 175 3.38
174 73 0.01
177 73 0.01
180 74 0.1
181 76 0.1
184 77.5 0.05
185 142.5 4.812
229 78 0.01
230 78.5 0.13
231 100 2.363
233 136.5 1.799
232 78 0.01
234 78.5 0.05
188 79 0.01
189 79 0.01
193 80 0.06
195 83 0.142
200 85 0.01
201 85 0.01
203 85.5 0.079
205 86 0.01
204 88 0.205
197 163.5 1.41
198 93.5 0.428
196 106 0.436
194 145 1.878
190 241 4.143
191 248 4.187
199 229 7.228
202 158 2.83
206 86 0.01
207 87 0.326
208 152 2.444
209 90 0.318
210 98 0.523
211 226 6.598
215 112.5 1.548
217 179.5 3.451
212 88.5 0.274
213 91.5 0.214
214 94.5 0.708
216 139 4.627
220 176.5 6.427
219 175 5.425
218 167 4.39
192 91.5 0.358
175 73.5 0.021
152 71 0.17
161 73 0.08
103 69 0.612
